trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.8841002039956048}",20,4,-26.63126113169199,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.881447903383618}",30,0,-138.1724208188819,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.8788035596734671}",20,0,-46.12644130364989,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.8761671489944467}",20,2,-0.3011539062461279,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.8735386475474634}",30,0,-126.82709091860507,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.8709180316048211}",20,15,1.2746218722489502,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.8683052775100065}",35,0,-103.50203463395587,"{0: 27, 1: 2, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.8657003616774765}",30,0,-170.79449416194933,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.8631032605924441}",30,0,-131.73150486740545,"{0: 16, 1: 3, 2: 9, 3: 2, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.8605139508106667}",25,0,-144.8313673006918,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.8579324089582347}",25,11,-42.956120874913374,"{0: 7, 1: 3, 2: 4, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.8553586117313601}",20,2,-52.35298617392793,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.852792535896166}",30,0,-107.65304785383839,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.8502341582884775}",25,0,-104.13106865209475,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.847683455813612}",20,0,-110.2562582567923,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.8451404054461712}",25,0,-97.93685066510763,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.8426049842298327}",20,0,-1.7345513251686797,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.8400771692771432}",20,0,-37.13229158872887,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.8375569377693117}",25,0,-198.9020697145123,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.8350442669560038}",30,0,-70.31635572709308,"{0: 22, 1: 0, 2: 6, 3: 2, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.8325391341551358}",20,0,-29.910544881153726,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.8300415167526703}",30,0,-94.83991772672636,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.8275513922024124}",30,0,-185.56488825167025,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.8250687380258052}",20,0,-111.08946880204789,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.8225935318117277}",20,0,-71.31836639271783,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.8201257512162925}",20,0,-123.23743046994812,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.8176653739626436}",20,0,-69.34144494381341,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.8152123778407557}",25,0,-108.1150700377148,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.8127667407072334}",20,0,-66.56610138734568,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.8103284404851118}",20,0,-38.31185010361495,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.8078974551636564}",30,0,-59.50059896763838,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.8054737627981654}",20,14,12.382208249152477,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.8030573415097709}",25,0,-93.48618716110482,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.8006481694852416}",30,0,-111.02738817366628,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.7982462249767859}",20,9,-15.010484888519308,"{0: 7, 1: 3, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.7958514863018555}",25,0,-197.69605554962638,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
78,False,"{'a': 0.5, 'e': 0.7934639318429499}",20,12,-14.38971570549418,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.7910835400474211}",20,0,-80.53561333973835,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.7887102894272788}",20,6,-58.63161933872966,"{0: 9, 1: 1, 2: 1, 3: 3, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.786344158558997}",20,0,-75.01583569039227,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
